,z0,z025,z05,z1,z2
6.6445,11.513,7.0151,4.8747,2.58945,0.868956
6.6602,11.4338,6.96452,4.84288,2.569,0.861613
6.67592,11.3616,6.91292,4.8053,2.54756,0.856137
6.69164,11.2854,6.8739,4.76693,2.53463,0.851412
6.70735,11.189,6.79816,4.73989,2.51874,0.848262
6.72304,11.1501,6.76226,4.71347,2.498,0.843534
6.73874,11.0262,6.72718,4.67364,2.48768,0.836938
6.75446,10.9737,6.68604,4.64217,2.46137,0.83397
6.77016,10.8911,6.62526,4.6079,2.44716,0.828318
6.78585,10.8272,6.58436,4.58277,2.43154,0.821334
6.80156,10.7538,6.54535,4.54808,2.41365,0.819276
6.81729,10.6731,6.49877,4.51571,2.40238,0.813187
6.83301,10.6041,6.45655,4.4849,2.3849,0.806121
6.8487,10.538,6.40295,4.45457,2.36382,0.802641
6.8644,10.4531,6.36733,4.42022,2.3501,0.798268
6.88012,10.3945,6.32757,4.3871,2.33368,0.792802
6.89583,10.3283,6.28211,4.36486,2.3195,0.787037
6.91151,10.2672,6.25482,4.33449,2.30439,0.785812
6.92723,10.1721,6.19847,4.30782,2.28887,0.780445
6.94296,10.1217,6.15099,4.26661,2.27289,0.776282
6.95866,10.0474,6.11875,4.25384,2.25464,0.77277
6.97436,10.0068,6.06517,4.22247,2.24476,0.765735
6.99007,9.92823,6.02018,4.18717,2.22785,0.761689
7.00578,9.84808,5.99273,4.1624,2.21418,0.758805
7.02147,9.77669,5.95182,4.13612,2.19603,0.753365
7.03718,9.71857,5.91445,4.10685,2.1842,0.752037
7.0529,9.64982,5.87836,4.07665,2.17001,0.746184
7.06863,9.59124,5.83305,4.0487,2.15354,0.739227
7.08433,9.51798,5.79779,4.0217,2.13693,0.735748
7.10004,9.44948,5.75231,3.99618,2.12692,0.732801
7.11575,9.4096,5.71665,3.97057,2.11297,0.728521
7.13145,9.33356,5.67487,3.94345,2.09872,0.723632
7.14715,9.2851,5.64861,3.91749,2.08343,0.719635
7.16284,9.19149,5.6074,3.89494,2.07293,0.714756
7.17855,9.1571,5.56548,3.86946,2.05615,0.710456
7.19428,9.08874,5.52777,3.84078,2.04343,0.70799
7.20998,9.03525,5.48908,3.81937,2.02944,0.702539
7.22568,8.97092,5.45569,3.7908,2.014,0.701133
7.24139,8.92366,5.42417,3.76721,2.00456,0.694956
7.25711,8.85749,5.38684,3.74021,1.98938,0.693076
7.27282,8.78404,5.34458,3.71833,1.97938,0.688845
7.28852,8.75549,5.31974,3.69796,1.96466,0.684293
7.30423,8.68757,5.28474,3.67823,1.95605,0.679031
7.31995,8.62917,5.24533,3.64083,1.93738,0.674761
7.33565,8.57341,5.20231,3.61838,1.92612,0.672657
7.35135,8.51815,5.17121,3.59602,1.91734,0.666664
7.36706,8.46235,5.14642,3.57513,1.90445,0.664881
7.38277,8.40299,5.10749,3.554,1.88872,0.659678
7.39847,8.35407,5.08373,3.52871,1.87821,0.657075
7.41419,8.30423,5.03593,3.50269,1.86584,0.65378
7.4299,8.24378,5.01775,3.47781,1.85608,0.649798
7.44561,8.18211,4.98083,3.46153,1.84113,0.646368
7.46132,8.15206,4.94039,3.44251,1.82987,0.64363
7.47701,8.08369,4.91521,3.41207,1.81846,0.637868
7.49272,8.03995,4.88392,3.38909,1.80596,0.63434
7.50842,7.97837,4.85279,3.3747,1.79876,0.630432
7.5241,7.92476,4.81876,3.34381,1.78547,0.626442
7.53981,7.87382,4.78995,3.32622,1.77463,0.623073
7.55552,7.82327,4.75953,3.30653,1.76017,0.621777
